Linha,R2,RMSE,MAE,MAPE
383,0.8619938532280784,17.66211196368031,11.214046296547293,5.270704272933131e+17
383,0.8494970273340541,18.44446053198488,11.281213485241395,4.256821042045475e+17
814,0.9190176799992642,20.521765540533377,11.421926546958893,5.764428015945839e+17
22,0.9635970514929403,19.411642161771987,11.483081383415435,1.3588955562836894e+17
361,0.842999763825265,16.424733283286386,11.620773443810826,5.023630740114736e+17
814,0.9088862533690317,21.767651060713078,11.709310141997388,6.73534378592206e+17
304,0.8448268241217168,20.142017086811286,11.7590272349185,5.358936919455994e+17
83,0.9258661554361328,21.731119684073512,11.85880750667488,2.299143106995403e+17
304,0.8415264337563315,20.355091140956876,11.917472889710412,4.924090984815484e+17
304,0.8711307340370047,18.355630767084985,11.93228986216709,5.840153641767185e+17
361,0.8191223956538085,17.629523401756003,11.939699337347461,4.990181654556619e+17
361,0.7986492432088399,18.60050803198603,12.047822420677639,5.518542364196551e+17
319,0.9428032742268714,21.670949358465982,12.084771278936714,1.6157359030179277e+17
361,0.7909138670069804,18.9544325964996,12.158884163148018,5.227294902097591e+17
312,0.9347877742884414,18.345543491836878,12.171342980295565,2.0459288308422426e+17
628,0.9228263065159594,18.920752115766305,12.251709180529884,1.6025304049291456e+17
7,0.920788483398199,18.941261952575687,12.26180588420183,4.910088604800325e+17
618,0.9472289377161847,18.48314097080218,12.347310403471733,9.498751096195075e+16
356,0.894959701590882,17.83240479494062,12.415535340059106,6.390161598429313e+17
814,0.9085876246447606,21.803294025983508,12.458531319183745,6.199765736301137e+17
815,0.9533464755996643,20.406850835410737,12.565171152943938,3.234228828211514e+17
630,0.9113350797314826,20.126886506812074,12.593086001642035,2.970656861719064e+17
342,0.9364654643455151,24.557111741513047,12.695899527914616,7.502290749701029e+17
381,0.9065910964415731,20.83270270625346,12.809887315270936,2.1997995071503347e+17
342,0.9173520709369641,28.008402839636254,12.849811328492322,8.614395810682444e+17
366,0.961597970052145,23.53306336490429,12.886273912151069,3.193573950663984e+17
356,0.8709304130534441,19.7671428479686,12.933397095353842,5.558385954044232e+17
342,0.9280757631928881,26.128229821134973,12.941095427796752,7.870961849945608e+17
356,0.8508473329147643,21.249438196408633,12.944865616936431,5.349975470272079e+17
369,0.9477126733131165,20.21702650459509,12.962934743725077,2.1521359489019168e+17
376,0.9565823679810235,20.745784409279672,12.979474035303776,2.105576105340502e+17
356,0.8519989197546002,21.16724727567917,13.068116950051865,5.621889160257686e+17
391,0.9249231549401277,20.044963274015682,13.085762447220267,1.559771629318301e+17
397,0.9129492973858537,21.871956851577284,13.092426211001644,1.7334902201171744e+17
319,0.9349646071103797,23.10825956934476,13.144229359212497,6.84164896670509e+17
21,0.9367782701246868,19.438765710835884,13.253599958949097,1.990722297848475e+17
83,0.9098716700427033,23.96097599401056,13.31892027119958,8.722697989798824e+17
327,0.9655125128687742,24.47682161467762,13.348452688834152,1.2572641398158632e+17
362,0.9553211082970832,22.856080902459585,13.398671255571195,1.4891935121284042e+17
312,0.9185192601344379,20.506594928047654,13.546591587342148,8.819138270252408e+17
397,0.9046835058856311,22.88682400749149,13.583613153882242,4.350784465718209e+17
7,0.8840172844312549,22.919829495428075,13.608798667678805,6.297573582816605e+17
342,0.9221562144687862,27.182182877481903,13.621685737292264,6.152101642761926e+17
397,0.8979081716534066,23.68628719968227,13.801248950867823,5.151200252628644e+17
7,0.8769812653116197,23.604802656335977,13.840589868435945,6.932293192508575e+17
628,0.9014155131371857,21.384940350350412,13.886884474253707,7.52942847869091e+17
122,0.9531035147328483,23.63849432692885,13.88820723375557,1.5810820516050336e+17
7,0.8912810494181315,22.19051450928486,13.899972202624387,4.597527660779013e+17
22,0.953042657075688,22.04680969682812,13.96015188062506,7.457642166651636e+17
630,0.8968784995339896,21.705774934008176,14.031688234280658,7.810479767369492e+17
381,0.8944915967720861,22.140886434662338,14.133850638547557,7.550824550146097e+17
329,0.9441218878915293,24.906075809868586,14.166253078817736,2.82771425495013e+17
214,0.9364706924429047,31.242521083249898,14.178279420825634,2.276891495527822e+17
83,0.8840569027044853,27.176673141536092,14.193265051491945,7.602557014795782e+17
366,0.9498412068499602,26.895208318635138,14.194317024396817,9.094097819481548e+17
22,0.9334524225509276,26.24581850916496,14.240581471381658,6.842681642208367e+17
397,0.8923940468221945,24.31754059150455,14.296270818236605,5.277764012971459e+17
83,0.8921065645745037,26.21629727158921,14.302210367400573,7.17345208578974e+17
397,0.8962165553517176,23.88171661607744,14.339541367347001,7.494748516541188e+17
83,0.8784008380433769,27.831661458124504,14.378467136664595,8.036590331552163e+17
376,0.9426539660242316,23.842318621971355,14.389029818169115,7.884565014474309e+17
618,0.9290440165259707,21.43247715685913,14.415282666719818,7.757625116594757e+17
502,0.9747284712870942,24.19945803167836,14.45920654468684,2.6973929914190954e+17
381,0.877880341694881,23.820137788926854,14.460185457282572,5.779633743086906e+17
22,0.9322148246534512,26.48874350940835,14.469576461438807,7.102546331612957e+17
636,0.7178421776128805,49.92709900565582,14.524413226535222,1.845739584066556e+17
5,0.9447252242720069,29.476792002166775,14.643567124431392,1.7698729031368432e+17
613,0.9505595455169932,25.577656866250514,14.654156403940886,5.162546875804621e+17
312,0.8786117274425053,25.029630387033666,14.694958773164439,9.733738859528314e+17
312,0.8755660673755761,25.34168476560819,14.716065496871424,1.001536291937257e+18
381,0.8668862041719524,24.869268604699826,14.763137983351145,7.147408222546522e+17
381,0.8673110918949185,24.829546604875564,14.790419041754634,7.034685806212794e+17
319,0.9113749341426014,26.975570519637007,14.829363175873981,6.237294531291849e+17
391,0.9045942352347837,22.59641625665099,14.884015892614965,7.523640961349606e+17
626,0.9179996378865731,23.927089102152976,14.942210019352569,2.866898767436349e+17
319,0.8934677190510745,29.575559279807436,14.992960579686162,7.543252131342418e+17
618,0.8896924629035222,26.722707101146145,15.031305853582994,7.874473522920302e+17
369,0.9331181436745954,22.865106086551577,15.04754767065229,8.464609021609843e+17
618,0.889415153124401,26.75627605128884,15.049865397020879,7.414882865316371e+17
212,0.9454692955714323,27.108516423588515,15.091216236833612,4.574831171674817e+17
815,0.9213564818577032,26.495079557360928,15.09919930750607,1.1656255640861379e+18
628,0.8689106932098134,24.659677155892886,15.116109677958105,6.500121364231131e+17
319,0.8853594511551846,30.68043277250506,15.145707317430977,7.43315412075837e+17
8,0.919837280037796,24.133472639022088,15.163005402242147,1.2581536948030048e+17
832,0.945914257367948,26.425580200739645,15.219616335327235,2.680459197992618e+17
630,0.8667922562800379,24.669788140258067,15.224323362423213,7.769865337621946e+17
466,0.9411874489678926,25.465676574209112,15.227636050230318,1.5847529927744944e+17
630,0.8528985492732448,25.924426734186024,15.246070754163734,7.537308996750828e+17
312,0.8840349946127456,24.464117113169788,15.316779918651156,9.124168976685932e+17
618,0.9069462010564174,24.54397565940207,15.365437259214803,6.557504656651555e+17
630,0.8474415048212366,26.400909102295696,15.370388690029914,8.449905909806196e+17
628,0.8468376551316236,26.65506564326281,15.411927779244785,9.082073729242973e+17
628,0.8491590700253289,26.452294777123807,15.457763595136976,9.18983677087365e+17
210,0.9593432607079432,32.26591755874148,15.653703143326295,4.203600652368456e+17
329,0.9285786091828265,28.15779189720714,15.754614790634106,1.1040579251341766e+18
122,0.9365016423317813,27.50621980891365,15.767950895363184,8.241558490730019e+17
804,0.9598189635938028,31.17381622861604,15.813352935139573,5.423667375504833e+17
